EmployeeID,FirstName,LastName,Email,PhoneNumber,Country,Salary
1001,Sally,Spring,sally.spring@itelo.info,15100010002,US,55549
1002,Susan,Summer,susan.summer@itelo.info,15100010002,US,76239
1003,Franco,Fall,franco.fall@itelo.info,15100010002,US,85962
1004,Walter,Winter,walter.winter@itelo.info,15100010002,US,68597
1005,Maria,Hicks,maria.hicks@itelo.info,15100010002,US,49876
1006,John,Dash,john.dash@itelo.info,15100010002,US,72691
1007,Viola,Gains,viola.gains@itelo.info,15100010002,US,110962
1008,Randy,Gordon,randy.gordon@itelo.info,15100010002,US,81463
1009,Paul,Burke,paul.burke@itelo.info,15100010002,US,100491
1010,Michael,Miller,michael.miller@itelo.info,15100010002,US,86574
1011,John,Nicols,john.nicols@itelo.info,15100010002,CN,61579
1012,John,Smith,john.smith@itelo.info,15100010002,CN,60350
1013,Joanne,Rush,joanne.rush@itelo.info,15100010002,CN,70000
1014,Sue,Bay,sue.bay@itelo.info,15100010002,CN,98631
1015,James,Field,james.field@itelo.info,15100010002,CN,76395
1016,Hermann,Hecker,hermann.hecker@itelo.info,15100010002,CN,39874
1017,Rudolf,Platte,rudolf.platte@itelo.info,15100010002,CN,45983
1018,Al,Wallace,al.wallace@itelo.info,15100010002,CN,55426
1019,Jonathan,East,jonathan.east@itelo.info,15100010002,CN,55427
1020,James,Smith,james.smith@itelo.info,15100010002,JP,38761
1021,Megan,Wang,megan.wang@itelo.info,15100010002,JP,57985
1022,Anna,Lerch,anna.lerch@itelo.info,15100010002,JP,58768
1023,Clark,Kent,clark.kent@itelo.info,15100010002,JP,57000
1024,Catherine,Jones,catherine.jones@itelo.info,15100010002,JP,59000
1025,Peter,Douglas,peter.douglas@itelo.info,15100010002,JP,1500000
1026,Frank,Brown,frank.brown@itelo.info,15100010002,JP,53021
1027,Barbara,Ingalls,barbara.ingalls@itelo.info,15100010002,JP,63443
1028,Peter,Fuchs,peter.fuchs@itelo.info,15100010002,DE,71344
1029,Mary,Watson,mary.watson@itelo.info,15100010002,DE,64222
1030,Karl,Kessler,karl.kessler@itelo.info,15100010002,DE,97455
1031,Nora,Dwyer,nora.dwyer@itelo.info,15100010002,DE,50000
1032,Richard,Fisher,fisher.richard@itelo.info,15100010002,DE,67234
1033,EPM,USER,fisher.richard@itelo.info,15100010002,DE,67234
